Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_len_lambda	tree_length
265	1	-6705.589	-6736.998	31.40891	21.59315	4.907542
266	0	-6707.624	-6741.925	34.30097	23.64138	4.77586
267	1	-6691.928	-6727.097	35.1684	22.27858	4.740154
268	0	-6723.188	-6749.029	25.84081	19.72707	5.155209
269	1	-6703.558	-6737.554	33.99597	23.12456	4.792247
270	0	-6706.447	-6736.979	30.53164	21.87479	4.948828
271	1	-6693.566	-6720.687	27.12094	23.25841	5.087151
272	0	-6689.577	-6722.753	33.1755	20.69373	4.811842
273	1	-6701.154	-6736.7	35.54596	20.74513	4.698671
274	0	-6693.305	-6724.618	31.3137	19.70469	4.877036
275	1	-6707.818	-6733.207	25.38934	19.0602	5.162381
276	0	-6683.249	-6720.56	37.31097	21.01065	4.621159
277	1	-6715.166	-6747.528	32.36272	23.06792	4.863294
278	0	-6698.031	-6735.224	37.19296	25.75409	4.630938
279	1	-6692.202	-6734.168	41.96628	23.80281	4.452386
280	0	-6717.813	-6745.724	27.91153	19.87319	5.0536
281	1	-6698.803	-6727.939	29.13651	20.09378	4.99704
282	0	-6693.813	-6726.136	32.32313	28.07495	4.752329
283	1	-6688.33	-6724.899	36.5685	22.02726	4.674758
284	0	-6693.037	-6724.376	31.33914	23.25493	4.905826
285	1	-6700.394	-6734.197	33.80338	21.37038	4.793903
286	0	-6705.279	-6735.116	29.83659	19.35901	4.940686
287	1	-6701.721	-6732.275	30.55339	20.07419	4.926039
288	0	-6709.936	-6748.194	38.25749	25.6696	4.590903
289	1	-6700.571	-6737.627	37.05584	26.90137	4.613082
290	0	-6709.287	-6736.545	27.2581	27.34587	4.960857
291	1	-6716.787	-6750.967	34.17919	21.58845	4.779192
292	0	-6700.956	-6737.6	36.644	22.98378	4.67759
293	1	-6706.619	-6734.726	28.10654	21.79538	5.059998
294	0	-6698.375	-6733.428	35.05327	23.02308	4.746742
295	1	-6695.305	-6724.683	29.37845	20.18827	4.986991
296	0	-6702.484	-6734.82	32.33589	22.68102	4.866578
297	1	-6705.501	-6736.279	30.7775	18.33751	4.84169
298	0	-6702.537	-6729.965	27.42802	21.87535	5.090706
299	1	-6702.061	-6739.216	37.15445	21.31992	4.636013
300	0	-6694.993	-6726.025	31.03177	23.00222	4.921606
301	1	-6693.246	-6722.391	29.14535	21.71489	5.012404
302	0	-6708.682	-6736.326	27.64337	18.58338	5.024625
303	1	-6704.756	-6732.58	27.82434	20.8191	5.071476
304	0	-6709.863	-6733.666	23.803	24.22401	5.20312
305	1	-6694.61	-6727.666	33.05612	21.00235	4.823528
306	0	-6690.598	-6731.387	40.78985	22.92745	4.496655
307	1	-6687.298	-6723.819	36.52086	24.69171	4.673227
308	0	-6689.256	-6723.23	33.97466	21.90016	4.791629
309	1	-6692.346	-6729.074	36.72769	23.91852	4.671808
310	0	-6699.859	-6736.753	36.89455	24.32802	4.661794
311	1	-6688.539	-6721.751	33.21154	20.90005	4.814281
312	0	-6704.99	-6732.613	27.62291	20.54758	5.078743
313	1	-6706.877	-6741.616	34.7389	21.59626	4.753367
314	0	-6702.493	-6728.673	26.17983	22.91786	5.134052
315	1	-6705.906	-6734.517	28.61034	20.99487	5.035156
316	0	-6709.238	-6742.547	33.30846	21.59298	4.81957
317	1	-6692.776	-6726.406	33.62958	24.15309	4.798422
318	0	-6719.69	-6746.213	26.52341	23.71415	5.103207
319	1	-6697.4	-6731.566	34.16615	22.36807	4.785449
320	0	-6698.689	-6730.202	31.51291	21.83041	4.903833
321	1	-6697.761	-6731.791	34.02979	21.94271	4.789433
322	0	-6703.254	-6734.041	30.78682	20.77342	4.92851
323	1	-6702.818	-6736.629	33.8119	23.38457	4.79864
324	0	-6690.494	-6725.599	35.10539	26.65465	4.691748
325	1	-6694.428	-6727.519	33.09112	23.70274	4.826379
326	0	-6706.428	-6738.64	32.21181	22.77278	4.871646
327	1	-6699.703	-6735.311	35.6079	23.92851	4.718543
328	0	-6708.063	-6737.893	29.82936	19.87679	4.957192
329	1	-6692.322	-6730.56	38.23768	25.61355	4.592517
330	0	-6705.261	-6733.103	27.8419	26.2804	4.976994
331	1	-6718.45	-6748.805	30.35509	19.23746	4.909216
