Iteration	Posterior	Likelihood	Prior	br_len_lambda	tree_length
4110	-6706.032	-6739.432	33.39961	22.51289	4.819821
4120	-6704.376	-6737.469	33.09337	23.57952	4.827572
4130	-6691.623	-6725.749	34.12685	23.20693	4.786201
4140	-6697.753	-6733.937	36.18357	23.93708	4.694423
4150	-6701.903	-6727.058	25.15479	20.3355	5.197513
4160	-6708.951	-6736.467	27.51615	21.31877	5.088091
4170	-6701.871	-6734.456	32.58454	24.97714	4.827132
4180	-6687.898	-6723.236	35.33821	22.38986	4.733163
4190	-6691.94	-6723.52	31.58061	23.07618	4.897127
4200	-6691.128	-6724.549	33.42031	22.74797	4.818636
4210	-6692.996	-6728.317	35.32047	22.09279	4.731983
4220	-6699.567	-6731.263	31.69601	22.59627	4.895178
4230	-6702.977	-6732.507	29.53022	17.8616	4.879495
4240	-6699.351	-6724.864	25.51302	21.32489	5.182029
4250	-6701.102	-6734.591	33.48903	24.12479	4.80462
4260	-6691.517	-6727.664	36.14716	22.45736	4.697461
4270	-6709.141	-6742.408	33.26713	24.23893	4.812213
4280	-6698.032	-6730.015	31.98305	22.02797	4.882931
4290	-6701.747	-6737.268	35.52023	26.12519	4.688225
4300	-6706.532	-6736.829	30.29705	24.61854	4.926899
4310	-6699.597	-6726.658	27.06059	24.01863	5.073636
4320	-6699.723	-6729.631	29.90761	25.16072	4.929734
4330	-6689.321	-6723.603	34.28175	21.76471	4.776374
4340	-6698.881	-6733.071	34.19022	22.29026	4.784107
4350	-6698.434	-6732.444	34.01012	21.85261	4.789629
4360	-6709.909	-6740.042	30.13297	27.42109	4.853178
4370	-6707.849	-6740.489	32.63979	18.63127	4.758632
4380	-6712.135	-6733.388	21.25251	17.02522	5.29693
4390	-6691.192	-6722.603	31.41088	21.931	4.908763
4400	-6706.283	-6737.181	30.89858	22.2429	4.931899
4410	-6695.169	-6726.958	31.78867	22.15227	4.891888
4420	-6720.134	-6747.915	27.78114	18.21189	4.998342
4430	-6693.59	-6730.121	36.53108	25.60489	4.659297
4440	-6692.766	-6724.392	31.62563	24.34064	4.878147
4450	-6695.163	-6727.747	32.58435	22.36097	4.856167
4460	-6700.882	-6726.565	25.68304	18.14739	5.11034
4470	-6693.204	-6727.497	34.29317	23.19851	4.779074
4480	-6694.208	-6731.222	37.01451	23.74371	4.660686
4490	-6706.745	-6740.603	33.85803	20.33508	4.769519
4500	-6696.563	-6730.085	33.52283	18.97978	4.731394
4510	-6703.596	-6736.08	32.48431	18.8393	4.778731
4520	-6722.514	-6745.898	23.38354	20.92551	5.28442
4530	-6705.324	-6735.173	29.84844	21.88206	4.980055
4540	-6694.644	-6725.134	30.49001	22.16801	4.950475
4550	-6706.108	-6730.59	24.48157	19.79764	5.225159
