Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_len_lambda	tree_length
405	1	-4114.383	-4128.128	13.74493	20.41435	5.526304
406	0	-4093.389	-4109.082	15.69317	20.5878	5.429867
407	1	-4118.469	-4124.184	5.715418	17.13618	5.936028
408	0	-4103.218	-4112.944	9.725528	19.94468	5.730806
409	1	-4094.477	-4110.345	15.86836	21.05368	5.417068
410	0	-4105.336	-4114.222	8.886364	17.03039	5.746861
411	1	-4104.135	-4118.195	14.06026	18.73154	5.50493
412	0	-4112.569	-4121.063	8.493766	15.77447	5.696452
413	1	-4120.261	-4128.252	7.991659	18.50774	5.828424
414	0	-4089.883	-4104.276	14.39314	18.85337	5.489265
415	1	-4116.972	-4126.051	9.079391	17.88335	5.761228
416	0	-4093.217	-4103.37	10.1537	17.04976	5.673307
417	1	-4104.491	-4115.879	11.38726	19.2883	5.650432
418	0	-4091.535	-4106.3	14.76471	18.96639	5.471381
419	1	-4116.83	-4122.628	5.79853	17.95036	5.945293
420	0	-4088.212	-4101.746	13.53419	21.54946	5.518206
421	1	-4106.774	-4112.021	5.247531	16.67022	5.948735
422	0	-4099.35	-4110.637	11.28717	17.98147	5.640304
423	1	-4116.777	-4117.909	1.131787	21.35166	6.10324
424	0	-4085.042	-4098.527	13.48526	19.83685	5.542631
425	1	-4109.162	-4122.195	13.03259	18.68192	5.559047
426	0	-4089.486	-4097.358	7.871694	18.6325	5.835241
427	1	-4104.833	-4120.545	15.71182	22.67315	5.392098
428	0	-4092.606	-4104.616	12.0099	17.55729	5.586595
429	1	-4102.089	-4114.676	12.5866	22.41009	5.538351
430	0	-4091.18	-4105.791	14.61074	23.28558	5.421648
431	1	-4102.677	-4117.972	15.29457	17.47032	5.395267
432	0	-4097.603	-4106.636	9.033082	21.4909	5.728921
433	1	-4098.429	-4107.335	8.905625	16.03032	5.690065
434	0	-4109.562	-4114.278	4.716104	20.9257	5.951441
435	1	-4115.28	-4120.303	5.023065	15.73988	5.914154
436	0	-4096.265	-4102.132	5.866819	19.03936	5.939777
437	1	-4103.933	-4112.449	8.516716	15.62772	5.682771
438	0	-4090.692	-4108.866	18.17384	21.03262	5.307701
439	1	-4104.061	-4115.782	11.72181	17.65844	5.606524
440	0	-4099.982	-4111.009	11.02693	19.07991	5.668881
441	1	-4112.106	-4118.578	6.472068	16.72038	5.877358
442	0	-4105.687	-4120.4	14.71266	20.57875	5.477575
443	1	-4095.634	-4110.808	15.17429	18.37605	5.436845
444	0	-4123.684	-4130.608	6.924008	18.85285	5.885437
