Iteration	Posterior	Likelihood	Prior	br_len_lambda	tree_length
4070	-4094.255	-4112.509	18.25394	18.11492	5.258816
4080	-4121.106	-4126.304	5.197434	22.64391	5.857215
4090	-4102.163	-4110.501	8.337864	19.20352	5.809133
4100	-4128.143	-4135.776	7.632793	16.93571	5.816929
4110	-4089.627	-4104.726	15.09895	17.63544	5.414248
4120	-4111.376	-4127.876	16.50059	20.74749	5.389701
4130	-4093.901	-4108.024	14.12291	24.22089	5.408433
4140	-4081.026	-4100.609	19.58332	19.9	5.23602
4150	-4091.218	-4106.985	15.76735	18.74036	5.413992
4160	-4104.68	-4120.452	15.77176	24.49999	5.330086
4170	-4103.74	-4113.515	9.774152	20.20037	5.724587
4180	-4097.721	-4107.428	9.706663	18.35116	5.734089
4190	-4098.132	-4108.483	10.35097	19.29576	5.70414
4200	-4098.847	-4113.612	14.76405	19.66022	5.477772
4210	-4112.992	-4125.224	12.23244	19.00091	5.605163
4220	-4104.345	-4116.62	12.2744	19.39187	5.604643
4230	-4101.314	-4105.864	4.549632	18.96202	6.010027
4240	-4093.47	-4106.853	13.38275	20.00675	5.547156
4250	-4103.061	-4110.808	7.746596	20.57635	5.816144
4260	-4109.556	-4115.333	5.777074	15.17078	5.81951
4270	-4100.034	-4109.679	9.645097	19.07383	5.741311
4280	-4094.239	-4112.229	17.98997	20.86732	5.317414
4290	-4091.905	-4108.365	16.46059	21.2636	5.386488
4300	-4110.994	-4119.023	8.02909	20.93857	5.792754
4310	-4095.371	-4102.246	6.874606	15.74418	5.796843
4320	-4104.331	-4123.565	19.23375	21.08396	5.257085
4330	-4104.883	-4120.612	15.72891	20.29977	5.42956
4340	-4116.43	-4122.084	5.654152	19.89868	5.936009
4350	-4102.474	-4112.233	9.758645	17.48581	5.712633
4360	-4097.995	-4117.87	19.87542	22.82302	5.205566
4370	-4091.62	-4107.29	15.67026	19.70003	5.431901
4380	-4082.701	-4093.079	10.37859	22.14157	5.646145
4390	-4106.608	-4115.227	8.6184	17.84394	5.786258
4400	-4083.409	-4099.879	16.47016	20.13421	5.393074
4410	-4094.742	-4110.457	15.71463	22.74208	5.390108
4420	-4099.617	-4115.983	16.36616	22.43608	5.369083
4430	-4085.164	-4098.417	13.25343	20.05827	5.553331
4440	-4100.357	-4115.913	15.55575	18.86046	5.427736
4450	-4104.459	-4113.711	9.252107	16.03674	5.668923
4460	-4089.041	-4107.427	18.38572	19.2995	5.287812
4470	-4088.323	-4106.159	17.83536	17.68962	5.261958
4480	-4092.961	-4109.899	16.93811	20.46381	5.369785
4490	-4101.153	-4113.661	12.50853	21.74248	5.560959
4500	-4103.27	-4113.754	10.48408	19.55942	5.696154
4510	-4099.393	-4107.613	8.220524	17.93995	5.810199
4520	-4103.121	-4109.764	6.643173	14.81329	5.724404
4530	-4115.613	-4122.76	7.146563	20.03561	5.858263
4540	-4099.918	-4114.37	14.45208	23.25272	5.429553
4550	-4096.98	-4118.85	21.86953	19.83393	5.119914
4560	-4104.83	-4119.869	15.03855	21.63483	5.446758
4570	-4085.268	-4100.328	15.06051	19.97102	5.463315
4580	-4101.946	-4112.258	10.31255	19.10713	5.70634
4590	-4105.752	-4116.624	10.87126	18.28541	5.669555
4600	-4104.274	-4115.201	10.92706	17.19874	5.634626
4610	-4092.227	-4108.52	16.29314	20.18754	5.401875
4620	-4110.272	-4127.862	17.59063	20.48247	5.337883
4630	-4107.761	-4122.806	15.0448	23.70231	5.389062
