Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
153	1	-6659.214	-6684.961	25.7469	2.013948	22.668	0.294934	0.656489	1.07033	1.97824	4.441645
154	0	-6644.102	-6690.501	46.39814	1.334049	29.43201	0.198511	0.558382	1.03898	2.20412	3.675817
155	1	-6632.4	-6670.596	38.19597	2.006508	27.05864	0.29405	0.655704	1.07015	1.98009	3.967786
156	0	-6635.217	-6682.215	46.99812	1.400049	29.53415	0.209461	0.571028	1.04397	2.17554	3.655354
157	1	-6631.597	-6673.843	42.24648	1.72682	26.30867	0.258332	0.622419	1.06137	2.05788	3.811907
158	0	-6637.024	-6673.707	36.683	2.12923	31.25195	0.308228	0.668088	1.07291	1.95077	3.977919
159	1	-6636.286	-6673.605	37.31926	1.898991	28.2777	0.280912	0.643824	1.06724	2.00802	3.995211
160	0	-6633.478	-6673.632	40.15345	1.521123	29.66629	0.228567	0.592035	1.05164	2.12776	3.885907
161	1	-6634.21	-6666.819	32.60923	2.23576	29.24277	0.319882	0.67795	1.07491	1.92726	4.147505
162	0	-6631.138	-6674.403	43.26514	2.273862	27.13346	0.323912	0.681298	1.07554	1.91925	3.780969
163	1	-6634.164	-6664.327	30.16281	2.234341	27.85184	0.31973	0.677824	1.07488	1.92756	4.254738
164	0	-6647.339	-6687.135	39.79544	1.449684	24.8312	0.217444	0.579961	1.04732	2.15527	3.886304
165	1	-6636.148	-6670.793	34.6455	2.077567	29.17506	0.302361	0.663016	1.07181	1.96281	4.078822
166	0	-6624.091	-6675.613	51.5211	1.063323	30.60466	0.149413	0.494991	1.00975	2.34585	3.504174
167	1	-6637.302	-6677.295	39.99322	1.722401	32.86226	0.257726	0.621826	1.06119	2.05926	3.845229
168	0	-6645.351	-6683.602	38.25114	1.833398	30.38288	0.272542	0.636041	1.0652	2.02621	3.94092
169	1	-6634.157	-6668.07	33.91313	1.995385	25.60078	0.292723	0.654522	1.06987	1.98288	4.127959
170	0	-6672.959	-6693.94	20.98075	3.093187	20.94841	0.396345	0.73656	1.08294	1.78416	4.624624
171	1	-6646.403	-6673.074	26.67102	2.687634	23.13462	0.363554	0.712622	1.08047	1.84335	4.407604
172	0	-6668.417	-6689.59	21.17303	2.085578	23.78815	0.303281	0.663816	1.07199	1.96091	4.644472
173	1	-6652.225	-6676.971	24.7459	3.834103	22.40299	0.44501	0.76927	1.08439	1.70133	4.481917
174	0	-6644.957	-6674.303	29.34539	1.632555	23.8347	0.245092	0.60923	1.05734	2.08834	4.301403
175	1	-6648.707	-6683.048	34.34075	1.913265	32.01008	0.282697	0.645462	1.06766	2.00418	4.036755
176	0	-6640.841	-6677.391	36.54997	1.750372	26.22535	0.26154	0.62554	1.06227	2.05064	4.028199
177	1	-6663.836	-6683.817	19.98062	3.26663	24.32998	0.408892	0.745298	1.08355	1.76226	4.690197
178	0	-6625.788	-6676.177	50.3884	1.802126	26.37695	0.268453	0.632175	1.06415	2.03523	3.50395
179	1	-6642.586	-6674.643	32.05723	2.683464	25.5351	0.363188	0.712346	1.08043	1.84403	4.200403
180	0	-6645.658	-6682.086	36.42803	1.81216	26.01189	0.269772	0.633427	1.06449	2.03231	4.03208
181	1	-6642.668	-6679.235	36.56707	1.709925	29.49779	0.256007	0.620138	1.06069	2.06316	4.009008
182	0	-6632.62	-6676.824	44.20432	2.097373	29.45621	0.304627	0.664984	1.07225	1.95814	3.750263
183	1	-6649.458	-6680.119	30.66114	3.044223	27.30833	0.392654	0.733947	1.08273	1.79067	4.243604
184	0	-6650.477	-6685.144	34.66717	1.476724	24.71981	0.221704	0.584636	1.04903	2.14463	4.091621
185	1	-6656.077	-6685.178	29.10095	2.050729	22.04199	0.299256	0.660302	1.07121	1.96923	4.277735
186	0	-6630.403	-6672.538	42.13526	2.117388	26.15888	0.306896	0.666943	1.07267	1.95349	3.814466
187	1	-6630.627	-6667.569	36.94229	1.875816	29.51213	0.277986	0.641123	1.06655	2.01434	3.99611
