Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
171	1	-4103.621	-4092.517	-11.10366	3.887193	16.11654	0.448056	0.771216	1.0844	1.69633	6.515565
172	0	-4096.639	-4099.51	2.871543	3.095069	20.18323	0.396485	0.736659	1.08295	1.78391	5.729781
173	1	-4111.303	-4097.219	-14.08461	2.949286	15.35156	0.3853	0.728681	1.08225	1.80377	6.686437
174	0	-4101.563	-4097.904	-3.659465	3.01701	19.26732	0.390574	0.732465	1.0826	1.79436	6.07826
175	1	-4120.098	-4098.246	-21.85264	2.949286	14.3936	0.3853	0.728681	1.08225	1.80377	7.178599
176	0	-4110.747	-4108.335	-2.41185	3.420898	16.18992	0.419412	0.752456	1.08393	1.7442	5.979968
177	1	-4093.981	-4082.799	-11.18232	2.671799	18.52021	0.362162	0.711569	1.08033	1.84593	6.496425
178	0	-4111.227	-4095.29	-15.93661	2.553471	15.21962	0.351468	0.703366	1.07921	1.86596	6.803733
179	1	-4124.281	-4106.469	-17.81202	2.601213	15.02975	0.355847	0.706748	1.07969	1.85772	6.922606
180	0	-4097.141	-4093.984	-3.156734	4.436813	17.28687	0.476859	0.789078	1.08412	1.64995	6.059443
181	1	-4115.056	-4090.764	-24.29205	2.663347	13.26159	0.361416	0.711002	1.08026	1.84732	7.294423
182	0	-4103.177	-4093.623	-9.554076	2.993203	16.58174	0.388735	0.731151	1.08248	1.79763	6.427629
183	1	-4111.376	-4104.215	-7.160948	2.747756	16.66766	0.368755	0.716531	1.08095	1.83376	6.284923
184	0	-4115.173	-4105.252	-9.920895	4.855273	19.04846	0.495953	0.800408	1.08355	1.62009	6.411335
185	1	-4104.988	-4095.398	-9.590079	2.741649	17.19159	0.368232	0.71614	1.0809	1.83472	6.43202
186	0	-4115.854	-4093.559	-22.29467	2.747403	18.20224	0.368725	0.716508	1.08095	1.83382	7.116386
187	1	-4100.914	-4095.621	-5.29318	2.741649	19.45845	0.368232	0.71614	1.0809	1.83472	6.157874
188	0	-4114.307	-4106.958	-7.348605	3.761078	17.49845	0.440735	0.766519	1.08436	1.70839	6.301873
189	1	-4101.371	-4101.811	0.4404329	2.102453	19.1773	0.305205	0.665484	1.07235	1.95696	5.866347
190	0	-4117.903	-4106.866	-11.03693	3.038986	16.38816	0.392256	0.733664	1.0827	1.79138	6.515428
191	1	-4097.32	-4089.14	-8.1808	2.489579	17.05814	0.345466	0.698677	1.07851	1.87735	6.349665
192	0	-4108.069	-4093.888	-14.18144	3.068405	17.01698	0.394486	0.735246	1.08283	1.78743	6.702092
193	1	-4123.643	-4113.003	-10.64004	2.703438	15.7915	0.364933	0.713663	1.0806	1.8408	6.478641
