Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
1390	-4094.675	-4088.876	-5.798914	3.224194	19.33479	0.405895	0.743231	1.08342	1.76745	6.187434
1400	-4124.144	-4104.459	-19.68572	3.227781	14.00604	0.40615	0.743408	1.08343	1.76701	7.007843
1410	-4111.324	-4100.604	-10.72065	2.827123	18.06441	0.375429	0.721484	1.08152	1.82157	6.483954
1420	-4109.931	-4097.32	-12.61083	3.403252	14.35528	0.418237	0.751665	1.08389	1.7462	6.533519
1430	-4111.645	-4100.646	-10.99947	2.890496	19.41194	0.380609	0.725279	1.08192	1.81219	6.453135
1440	-4112.968	-4108.251	-4.716516	2.781386	18.37394	0.371609	0.718657	1.0812	1.82853	6.149068
1450	-4115.223	-4112.285	-2.937782	3.261421	17.47098	0.408527	0.745047	1.08353	1.76289	6.049469
1460	-4106.829	-4101.264	-5.564811	3.501609	17.08459	0.424694	0.755995	1.08408	1.73523	6.196653
1470	-4105.996	-4101.119	-4.87753	3.296206	21.19101	0.410954	0.746713	1.08363	1.7587	6.07328
1480	-4105.299	-4099.799	-5.500843	4.161022	19.1307	0.462995	0.7806	1.08434	1.67206	6.177315
1490	-4100.755	-4089.382	-11.37286	3.286648	16.16935	0.41029	0.746258	1.08361	1.75985	6.533142
1500	-4108.56	-4095.171	-13.38941	3.307377	15.13874	0.411727	0.747242	1.08366	1.75737	6.633122
1510	-4109.917	-4101.314	-8.60338	2.641641	18.14928	0.359487	0.709535	1.08007	1.85091	6.365223
1520	-4101.006	-4094.45	-6.556599	2.935138	16.00663	0.384181	0.727872	1.08218	1.80577	6.229295
1530	-4097.401	-4087.075	-10.32591	2.858741	17.52096	0.37803	0.723394	1.08172	1.81685	6.471739
1540	-4099.748	-4081.492	-18.25662	2.533992	15.16943	0.349656	0.701957	1.079	1.86938	6.95524
1550	-4109.147	-4094.879	-14.26871	3.332973	14.21208	0.413487	0.748443	1.08373	1.75434	6.638305
1560	-4093.449	-4092.716	-0.7335403	3.945915	20.84033	0.451366	0.773318	1.08441	1.69091	5.889516
1570	-4094.003	-4082.83	-11.17236	2.903427	15.19368	0.38165	0.726037	1.082	1.81032	6.489436
1580	-4122.555	-4096.564	-25.99104	2.099731	15.95429	0.304896	0.665216	1.0723	1.95759	7.445322
1590	-4104.581	-4097.989	-6.59199	2.712743	14.90392	0.365741	0.714272	1.08068	1.83931	6.166173
1600	-4096.733	-4087.381	-9.351838	2.810833	17.40215	0.374077	0.720486	1.08141	1.82403	6.417133
1610	-4102.765	-4095.102	-7.663207	3.597962	16.54426	0.430813	0.760048	1.08421	1.72493	6.312896
1620	-4101.471	-4091.085	-10.38548	2.761633	15.12784	0.369937	0.717414	1.08106	1.83159	6.434095
1630	-4105.693	-4097.82	-7.873035	2.287105	17.78733	0.325296	0.68244	1.07576	1.91651	6.329783
1640	-4102.225	-4090.133	-12.09211	2.952489	15.62311	0.385553	0.728863	1.08227	1.80331	6.566028
1650	-4101.148	-4091.143	-10.0054	3.078564	16.63292	0.39525	0.735787	1.08288	1.78609	6.455306
1660	-4111.292	-4100.172	-11.12029	3.481778	18.86401	0.42341	0.755138	1.08404	1.73741	6.481273
1670	-4110.487	-4092.005	-18.48163	3.714585	13.54142	0.437961	0.764722	1.08433	1.71299	6.884717
